hours,county,households,volume,site,barcode,status
20,Turkana,500,400,5691849,6063,1
6.67,Turkana,1000,66.7,5691629,7173,1
6.67,Turkana,1000,66.7,5691698,6097,1
12.67,Turkana,1000,126.7,5691540,6016,1
8,Turkana,150,120,5691760,6074,1
0,Turkana,1000,0,5691928,6048,3
4,Turkana,10000,32,5691526,6013,1
0,Turkana,7000,0,10388457,7186,4
0,Turkana,1000,0,10388433,7515,3
22.67,Turkana,1600,317.38,480613,7165,1
8,Turkana,1000,80,480620,7509,1
8,Turkana,1000,80,480699,7187,1
11.33,Turkana,1000,113.3,13884664,7314,1
12.67,Turkana,1000,126.7,5691571,6008,1
15.33,Turkana,16000,1180.41,7668335,5070,1
10.67,Turkana,1000,106.7,7668328,5074,1
0,Turkana,1000,0,5691533,6025,3
6.67,Turkana,250,26.68,5691588,6002,1
0,Turkana,1000,0,5691612,6029,3
0,Turkana,400,0,7668311,5078,3
18,Turkana,500,360,5691849,6063,1
0,Turkana,1000,0,5691629,7173,3
9.33,Turkana,1000,93.3,5691698,6097,1
12.67,Turkana,1000,126.7,5691540,6016,1
10.67,Turkana,150,160.05,5691760,6074,1
22.67,Turkana,1000,226.7,5691928,6048,1
10,Turkana,10000,80,5691526,6013,1
0,Turkana,7000,0,10388457,7186,4
0,Turkana,1000,0,10388433,7515,3
22.67,Turkana,1600,317.38,480613,7165,1
9.33,Turkana,1000,93.3,480620,7509,1
6,Turkana,1000,60,480699,7187,1
11.33,Turkana,1000,113.3,13884664,7314,1
12.67,Turkana,1000,126.7,5691571,6008,1
16,Turkana,16000,1232,7668335,5070,1
10.67,Turkana,1000,106.7,7668328,5074,1
0,Turkana,1000,0,5691533,6025,3
9.33,Turkana,250,37.32,5691588,6002,1
0,Turkana,1000,0,5691612,6029,3
0,Turkana,400,0,7668311,5078,3
14.67,Turkana,500,293.4,5691849,6063,1
3.33,Turkana,1000,33.3,5691629,7173,1
9.33,Turkana,1000,93.3,5691698,6097,1
12.67,Turkana,1000,126.7,5691540,6016,1
10.67,Turkana,150,160.05,5691760,6074,1
22.67,Turkana,1000,226.7,5691928,6048,1
2,Turkana,10000,16,5691526,6013,1
0,Turkana,7000,0,10388457,7186,4
0,Turkana,1000,0,10388433,7515,3
22,Turkana,1600,308,480613,7165,1
9.33,Turkana,1000,93.3,480620,7509,1
8,Turkana,1000,80,480699,7187,1
10.67,Turkana,1000,106.7,13884664,7314,1
12.67,Turkana,1000,126.7,5691571,6008,1
14.67,Turkana,16000,1129.59,7668335,5070,1
12,Turkana,1000,120,7668328,5074,1
0,Turkana,1000,0,5691533,6025,3
12.67,Turkana,250,50.68,5691588,6002,1
0,Turkana,1000,0,5691612,6029,3
0,Turkana,400,0,7668311,5078,3
15.33,Turkana,500,306.6,5691849,6063,1
0,Turkana,1000,0,5691629,7173,3
9.33,Turkana,1000,93.3,5691698,6097,1
12,Turkana,1000,120,5691540,6016,1
7.33,Turkana,150,109.95,5691760,6074,1
22.67,Turkana,1000,226.7,5691928,6048,1
10.67,Turkana,10000,85.36,5691526,6013,1
0,Turkana,7000,0,10388457,7186,4
0,Turkana,1000,0,10388433,7515,3
22,Turkana,1600,308,480613,7165,1
9.33,Turkana,1000,93.3,480620,7509,1
6.67,Turkana,1000,66.7,480699,7187,1
11.33,Turkana,1000,113.3,13884664,7314,1
12.67,Turkana,1000,126.7,5691571,6008,1
16.67,Turkana,16000,1283.59,7668335,5070,1
12,Turkana,1000,120,7668328,5074,1
0,Turkana,1000,0,5691533,6025,3
12,Turkana,250,48,5691588,6002,1
0,Turkana,1000,0,5691612,6029,3
0,Turkana,400,0,7668311,5078,3
19.33,Turkana,500,386.6,5691849,6063,1
4,Turkana,1000,40,5691629,7173,1
9.33,Turkana,1000,93.3,5691698,6097,1
12.67,Turkana,1000,126.7,5691540,6016,1
11.33,Turkana,150,169.95,5691760,6074,1
22.67,Turkana,1000,226.7,5691928,6048,1
7.33,Turkana,10000,58.64,5691526,6013,1
0,Turkana,7000,0,10388457,7186,4
0,Turkana,1000,0,10388433,7515,3
22.67,Turkana,1600,317.38,480613,7165,1
8.67,Turkana,1000,86.7,480620,7509,1
8.67,Turkana,1000,86.7,480699,7187,1
11.33,Turkana,1000,113.3,13884664,7314,1
12.67,Turkana,1000,126.7,5691571,6008,1
16,Turkana,16000,1232,7668335,5070,1
10.67,Turkana,1000,106.7,7668328,5074,1
0,Turkana,1000,0,5691533,6025,3
16,Turkana,250,64,5691588,6002,1
0,Turkana,1000,0,5691612,6029,3
0,Turkana,400,0,7668311,5078,3
10.67,Turkana,500,213.4,5691849,6063,1
8,Turkana,1000,80,5691629,7173,1
9.33,Turkana,1000,93.3,5691698,6097,1
12,Turkana,1000,120,5691540,6016,1
9.33,Turkana,150,139.95,5691760,6074,1
18.67,Turkana,1000,186.7,5691928,6048,1
6.67,Turkana,10000,53.36,5691526,6013,1
0,Turkana,7000,0,10388457,7186,4
0,Turkana,1000,0,10388433,7515,3
21.33,Turkana,1600,298.62,480613,7165,1
8.67,Turkana,1000,86.7,480620,7509,1
8.67,Turkana,1000,86.7,480699,7187,1
10.67,Turkana,1000,106.7,13884664,7314,1
12.67,Turkana,1000,126.7,5691571,6008,1
13.33,Turkana,16000,1026.41,7668335,5070,1
11.33,Turkana,1000,113.3,7668328,5074,1
0,Turkana,1000,0,5691533,6025,3
15.33,Turkana,250,61.32,5691588,6002,1
0,Turkana,1000,0,5691612,6029,3
0,Turkana,400,0,7668311,5078,3
22.67,Turkana,500,453.4,5691849,6063,1
4.67,Turkana,1000,46.7,5691629,7173,1
2.67,Turkana,1000,26.7,5691698,6097,1
12.67,Turkana,1000,126.7,5691540,6016,1
6.67,Turkana,150,100.05,5691760,6074,1
22.67,Turkana,1000,226.7,5691928,6048,1
7.33,Turkana,10000,58.64,5691526,6013,1
0,Turkana,7000,0,10388457,7186,4
0,Turkana,1000,0,10388433,7515,3
20,Turkana,1600,280,480613,7165,1
9.33,Turkana,1000,93.3,480620,7509,1
6.67,Turkana,1000,66.7,480699,7187,1
11.33,Turkana,1000,113.3,13884664,7314,1
12.67,Turkana,1000,126.7,5691571,6008,1
16.67,Turkana,16000,1283.59,7668335,5070,1
12.67,Turkana,1000,126.7,7668328,5074,1
0,Turkana,1000,0,5691533,6025,3
14,Turkana,250,56,5691588,6002,1
0,Turkana,1000,0,5691612,6029,3
0,Turkana,400,0,7668311,5078,3
18.67,Turkana,500,373.4,5691849,6063,1
8,Turkana,1000,80,5691629,7173,1
9.33,Turkana,1000,93.3,5691698,6097,1
12.67,Turkana,1000,126.7,5691540,6016,1
10,Turkana,150,150,5691760,6074,1
22.67,Turkana,1000,226.7,5691928,6048,1
8.67,Turkana,10000,69.36,5691526,6013,1
0,Turkana,7000,0,10388457,7186,4
8,Turkana,1000,80,10388433,7515,1
22,Turkana,1600,308,480613,7165,1
9.33,Turkana,1000,93.3,480620,7509,1
7.33,Turkana,1000,73.3,480699,7187,1
10.67,Turkana,1000,106.7,13884664,7314,1
12.67,Turkana,1000,126.7,5691571,6008,1
16.67,Turkana,16000,1283.59,7668335,5070,1
12,Turkana,1000,120,7668328,5074,1
0,Turkana,1000,0,5691533,6025,3
10,Turkana,250,40,5691588,6002,1
0,Turkana,1000,0,5691612,6029,3
0,Turkana,400,0,7668311,5078,3
13.33,Turkana,500,266.6,5691849,6063,1
5.33,Turkana,1000,53.3,5691629,7173,1
8,Turkana,1000,80,5691698,6097,1
12,Turkana,1000,120,5691540,6016,1
10,Turkana,150,150,5691760,6074,1
22.67,Turkana,1000,226.7,5691928,6048,1
8.67,Turkana,10000,69.36,5691526,6013,1
0,Turkana,7000,0,10388457,7186,4
0,Turkana,1000,0,10388433,7515,3
22,Turkana,1600,308,480613,7165,1
7.33,Turkana,1000,73.3,480620,7509,1
6.67,Turkana,1000,66.7,480699,7187,1
10,Turkana,1000,100,13884664,7314,1
12,Turkana,1000,120,5691571,6008,1
17.33,Turkana,16000,1334.41,7668335,5070,1
8.67,Turkana,1000,86.7,7668328,5074,1
0,Turkana,1000,0,5691533,6025,3
12.67,Turkana,250,50.68,5691588,6002,1
0,Turkana,1000,0,5691612,6029,3
0,Turkana,400,0,7668311,5078,3
13.33,Turkana,500,266.6,5691849,6063,1
0,Turkana,1000,0,5691629,7173,3
1.33,Turkana,1000,13.3,5691698,6097,1
12,Turkana,1000,120,5691540,6016,1
9.33,Turkana,150,139.95,5691760,6074,1
22.67,Turkana,1000,226.7,5691928,6048,1
6,Turkana,10000,48,5691526,6013,1
0,Turkana,7000,0,10388457,7186,3
0,Turkana,1000,0,10388433,7515,3
22,Turkana,1600,308,480613,7165,1
8,Turkana,1000,80,480620,7509,1
5.33,Turkana,1000,53.3,480699,7187,1
11.33,Turkana,1000,113.3,13884664,7314,1
12.67,Turkana,1000,126.7,5691571,6008,1
16.67,Turkana,16000,1283.59,7668335,5070,1
11.33,Turkana,1000,113.3,7668328,5074,1
0,Turkana,1000,0,5691533,6025,3
15.33,Turkana,250,61.32,5691588,6002,1
0,Turkana,1000,0,5691612,6029,3
0,Turkana,400,0,7668311,5078,3
22.67,Turkana,500,453.4,5691849,6063,1
4.67,Turkana,1000,46.7,5691629,7173,1
6,Turkana,1000,60,5691698,6097,1
12.67,Turkana,1000,126.7,5691540,6016,1
6,Turkana,150,90,5691760,6074,1
21.33,Turkana,1000,213.3,5691928,6048,1
8.67,Turkana,10000,69.36,5691526,6013,1
22.67,Turkana,7000,204.03,10388457,7186,1
0,Turkana,1000,0,10388433,7515,3
22.67,Turkana,1600,317.38,480613,7165,1
8.67,Turkana,1000,86.7,480620,7509,1
6.67,Turkana,1000,66.7,480699,7187,1
10.67,Turkana,1000,106.7,13884664,7314,1
12.67,Turkana,1000,126.7,5691571,6008,1
18,Turkana,16000,1386,7668335,5070,1
9.33,Turkana,1000,93.3,7668328,5074,1
0,Turkana,1000,0,5691533,6025,3
14.67,Turkana,250,58.68,5691588,6002,1
0,Turkana,1000,0,5691612,6029,3
0,Turkana,400,0,7668311,5078,3
22.67,Turkana,500,453.4,5691849,6063,1
6,Turkana,1000,60,5691629,7173,1
1.33,Turkana,1000,13.3,5691698,6097,1
11.33,Turkana,1000,113.3,5691540,6016,1
9.33,Turkana,150,139.95,5691760,6074,1
22.67,Turkana,1000,226.7,5691928,6048,1
11.33,Turkana,10000,90.64,5691526,6013,1
22.67,Turkana,7000,204.03,10388457,7186,1
0,Turkana,1000,0,10388433,7515,3
21.33,Turkana,1600,298.62,480613,7165,1
10,Turkana,1000,100,480620,7509,1
7.33,Turkana,1000,73.3,480699,7187,1
11.33,Turkana,1000,113.3,13884664,7314,1
11.33,Turkana,1000,113.3,5691571,6008,1
16,Turkana,16000,1232,7668335,5070,1
9.33,Turkana,1000,93.3,7668328,5074,1
0,Turkana,1000,0,5691533,6025,3
17.33,Turkana,250,69.32,5691588,6002,1
0,Turkana,1000,0,5691612,6029,3
0,Turkana,400,0,7668311,5078,3
22.67,Turkana,500,453.4,5691849,6063,1
4,Turkana,1000,40,5691629,7173,1
0,Turkana,1000,0,5691698,6097,3
10,Turkana,1000,100,5691540,6016,1
8,Turkana,150,120,5691760,6074,1
22.67,Turkana,1000,226.7,5691928,6048,1
14,Turkana,10000,112,5691526,6013,1
22.67,Turkana,7000,204.03,10388457,7186,1
0,Turkana,1000,0,10388433,7515,3
19.33,Turkana,1600,270.62,480613,7165,1
7.33,Turkana,1000,73.3,480620,7509,1
6.67,Turkana,1000,66.7,480699,7187,1
11.33,Turkana,1000,113.3,13884664,7314,1
12.67,Turkana,1000,126.7,5691571,6008,1
15.33,Turkana,16000,1180.41,7668335,5070,1
10.67,Turkana,1000,106.7,7668328,5074,1
0,Turkana,1000,0,5691533,6025,3
14.67,Turkana,250,58.68,5691588,6002,1
0,Turkana,1000,0,5691612,6029,3
0,Turkana,400,0,7668311,5078,3
22.67,Turkana,500,453.4,5691849,6063,1
7.33,Turkana,1000,73.3,5691629,7173,1
0,Turkana,1000,0,5691698,6097,3
12,Turkana,1000,120,5691540,6016,1
10,Turkana,150,150,5691760,6074,1
22.67,Turkana,1000,226.7,5691928,6048,1
9.33,Turkana,10000,74.64,5691526,6013,1
22.67,Turkana,7000,204.03,10388457,7186,1
2,Turkana,1000,20,10388433,7515,1
22.67,Turkana,1600,317.38,480613,7165,1
8.67,Turkana,1000,86.7,480620,7509,1
6.67,Turkana,1000,66.7,480699,7187,1
0,Turkana,1000,0,13884664,7314,3
12.67,Turkana,1000,126.7,5691571,6008,1
11.33,Turkana,16000,872.41,7668335,5070,1
12.67,Turkana,1000,126.7,7668328,5074,1
0,Turkana,1000,0,5691533,6025,3
14.67,Turkana,250,58.68,5691588,6002,1
0,Turkana,1000,0,5691612,6029,3
0,Turkana,400,0,7668311,5078,3
22,Turkana,500,440,5691849,6063,1
8,Turkana,1000,80,5691629,7173,1
0,Turkana,1000,0,5691698,6097,3
12.67,Turkana,1000,126.7,5691540,6016,1
10,Turkana,150,150,5691760,6074,1
20,Turkana,1000,200,5691928,6048,1
6,Turkana,10000,48,5691526,6013,1
18,Turkana,7000,162,10388457,7186,1
18,Turkana,1000,180,10388433,7515,1
19.33,Turkana,1600,270.62,480613,7165,1
9.33,Turkana,1000,93.3,480620,7509,1
6,Turkana,1000,60,480699,7187,1
22,Turkana,1000,220,13884664,7314,1
12.67,Turkana,1000,126.7,5691571,6008,1
14,Turkana,16000,1078,7668335,5070,1
12,Turkana,1000,120,7668328,5074,1
0,Turkana,1000,0,5691533,6025,3
12.67,Turkana,250,50.68,5691588,6002,1
0,Turkana,1000,0,5691612,6029,3
0,Turkana,400,0,7668311,5078,3
22.67,Turkana,500,453.4,5691849,6063,1
2.67,Turkana,1000,26.7,5691629,7173,1
0,Turkana,1000,0,5691698,6097,3
12.67,Turkana,1000,126.7,5691540,6016,1
9.33,Turkana,150,139.95,5691760,6074,1
15.33,Turkana,1000,153.3,5691928,6048,1
7.33,Turkana,10000,58.64,5691526,6013,1
14,Turkana,7000,126,10388457,7186,1
18.67,Turkana,1000,186.7,10388433,7515,1
22.67,Turkana,1600,317.38,480613,7165,1
9.33,Turkana,1000,93.3,480620,7509,1
7.33,Turkana,1000,73.3,480699,7187,1
11.33,Turkana,1000,113.3,13884664,7314,1
12.67,Turkana,1000,126.7,5691571,6008,1
12,Turkana,16000,924,7668335,5070,1
10.67,Turkana,1000,106.7,7668328,5074,1
0,Turkana,1000,0,5691533,6025,3
14.67,Turkana,250,58.68,5691588,6002,1
0,Turkana,1000,0,5691612,6029,3
0,Turkana,400,0,7668311,5078,3
22.67,Turkana,500,453.4,5691849,6063,1
5.33,Turkana,1000,53.3,5691629,7173,1
0,Turkana,1000,0,5691698,6097,3
12.67,Turkana,1000,126.7,5691540,6016,1
9.33,Turkana,150,139.95,5691760,6074,1
15.33,Turkana,1000,153.3,5691928,6048,1
6.67,Turkana,10000,53.36,5691526,6013,1
0.67,Turkana,7000,6.03,10388457,7186,1
20.67,Turkana,1000,206.7,10388433,7515,1
22,Turkana,1600,308,480613,7165,1
8,Turkana,1000,80,480620,7509,1
6.67,Turkana,1000,66.7,480699,7187,1
11.33,Turkana,1000,113.3,13884664,7314,1
12.67,Turkana,1000,126.7,5691571,6008,1
12,Turkana,16000,924,7668335,5070,1
12.67,Turkana,1000,126.7,7668328,5074,1
0,Turkana,1000,0,5691533,6025,3
15.33,Turkana,250,61.32,5691588,6002,1
0,Turkana,1000,0,5691612,6029,3
0,Turkana,400,0,7668311,5078,3
22,Turkana,500,440,5691849,6063,1
7.33,Turkana,1000,73.3,5691629,7173,1
0,Turkana,1000,0,5691698,6097,3
12,Turkana,1000,120,5691540,6016,1
10,Turkana,150,150,5691760,6074,1
22.67,Turkana,1000,226.7,5691928,6048,1
2,Turkana,10000,16,5691526,6013,1
0.67,Turkana,7000,6.03,10388457,7186,1
12,Turkana,1000,120,10388433,7515,1
22.67,Turkana,1600,317.38,480613,7165,1
8.67,Turkana,1000,86.7,480620,7509,1
7.33,Turkana,1000,73.3,480699,7187,1
10,Turkana,1000,100,13884664,7314,1
12,Turkana,1000,120,5691571,6008,1
11.33,Turkana,16000,872.41,7668335,5070,1
10.67,Turkana,1000,106.7,7668328,5074,1
0,Turkana,1000,0,5691533,6025,3
15.33,Turkana,250,61.32,5691588,6002,1
0,Turkana,1000,0,5691612,6029,3
0,Turkana,400,0,7668311,5078,3
20.67,Turkana,500,413.4,5691849,6063,1
6,Turkana,1000,60,5691629,7173,1
0,Turkana,1000,0,5691698,6097,3
12,Turkana,1000,120,5691540,6016,1
8,Turkana,150,120,5691760,6074,1
22,Turkana,1000,220,5691928,6048,1
7.33,Turkana,10000,58.64,5691526,6013,1
0.67,Turkana,7000,6.03,10388457,7186,1
12,Turkana,1000,120,10388433,7515,1
22.67,Turkana,1600,317.38,480613,7165,1
8,Turkana,1000,80,480620,7509,1
6.67,Turkana,1000,66.7,480699,7187,1
10.67,Turkana,1000,106.7,13884664,7314,1
12.67,Turkana,1000,126.7,5691571,6008,1
9.33,Turkana,16000,718.41,7668335,5070,1
10,Turkana,1000,100,7668328,5074,1
0,Turkana,1000,0,5691533,6025,3
16.67,Turkana,250,66.68,5691588,6002,1
0,Turkana,1000,0,5691612,6029,3
0,Turkana,400,0,7668311,5078,3
22.67,Turkana,500,453.4,5691849,6063,1
6.67,Turkana,1000,66.7,5691629,7173,1
0,Turkana,1000,0,5691698,6097,3
12.67,Turkana,1000,126.7,5691540,6016,1
9.33,Turkana,150,139.95,5691760,6074,1
21.33,Turkana,1000,213.3,5691928,6048,1
2,Turkana,10000,16,5691526,6013,1
6,Turkana,7000,54,10388457,7186,1
12.67,Turkana,1000,126.7,10388433,7515,1
22.67,Turkana,1600,317.38,480613,7165,1
8.67,Turkana,1000,86.7,480620,7509,1
8,Turkana,1000,80,480699,7187,1
10.67,Turkana,1000,106.7,13884664,7314,1
12.67,Turkana,1000,126.7,5691571,6008,1
8,Turkana,16000,616,7668335,5070,1
12,Turkana,1000,120,7668328,5074,1
0,Turkana,1000,0,5691533,6025,3
15.33,Turkana,250,61.32,5691588,6002,1
0,Turkana,1000,0,5691612,6029,3
0,Turkana,400,0,7668311,5078,3
22.67,Turkana,500,453.4,5691849,6063,1
3.33,Turkana,1000,33.3,5691629,7173,1
0,Turkana,1000,0,5691698,6097,3
12,Turkana,1000,120,5691540,6016,1
9.33,Turkana,150,139.95,5691760,6074,1
20,Turkana,1000,200,5691928,6048,1
9.33,Turkana,10000,74.64,5691526,6013,1
18,Turkana,7000,162,10388457,7186,1
14,Turkana,1000,140,10388433,7515,1
22.67,Turkana,1600,317.38,480613,7165,1
7.33,Turkana,1000,73.3,480620,7509,1
6.67,Turkana,1000,66.7,480699,7187,1
10,Turkana,1000,100,13884664,7314,1
12,Turkana,1000,120,5691571,6008,1
13.33,Turkana,16000,1026.41,7668335,5070,1
10.67,Turkana,1000,106.7,7668328,5074,1
0,Turkana,1000,0,5691533,6025,3
11.33,Turkana,250,45.32,5691588,6002,1
0,Turkana,1000,0,5691612,6029,3
0,Turkana,400,0,7668311,5078,3
22,Turkana,500,440,5691849,6063,1
1.33,Turkana,1000,13.3,5691629,7173,1
0,Turkana,1000,0,5691698,6097,3
10.67,Turkana,1000,106.7,5691540,6016,1
6.67,Turkana,150,100.05,5691760,6074,1
20,Turkana,1000,200,5691928,6048,1
2,Turkana,10000,16,5691526,6013,1
8,Turkana,7000,72,10388457,7186,1
8.67,Turkana,1000,86.7,10388433,7515,1
22.67,Turkana,1600,317.38,480613,7165,1
8,Turkana,1000,80,480620,7509,1
4.67,Turkana,1000,46.7,480699,7187,1
10.67,Turkana,1000,106.7,13884664,7314,1
12,Turkana,1000,120,5691571,6008,1
9.33,Turkana,16000,718.41,7668335,5070,1
12,Turkana,1000,120,7668328,5074,1
0,Turkana,1000,0,5691533,6025,3
14,Turkana,250,56,5691588,6002,1
0,Turkana,1000,0,5691612,6029,3
0,Turkana,400,0,7668311,5078,3
22.67,Turkana,500,453.4,5691849,6063,1
6,Turkana,1000,60,5691629,7173,1
0,Turkana,1000,0,5691698,6097,3
12.67,Turkana,1000,126.7,5691540,6016,1
9.33,Turkana,150,139.95,5691760,6074,1
15.33,Turkana,1000,153.3,5691928,6048,1
0.67,Turkana,10000,5.36,5691526,6013,1
14.67,Turkana,7000,132.03,10388457,7186,1
12.67,Turkana,1000,126.7,10388433,7515,1
22.67,Turkana,1600,317.38,480613,7165,1
7.33,Turkana,1000,73.3,480620,7509,1
9.33,Turkana,1000,93.3,13884664,7314,1
12.67,Turkana,1000,126.7,5691571,6008,1
8,Turkana,16000,616,7668335,5070,1
11.33,Turkana,1000,113.3,7668328,5074,1
0,Turkana,1000,0,5691533,6025,3
14,Turkana,250,56,5691588,6002,1
0,Turkana,1000,0,5691612,6029,3
0,Turkana,400,0,7668311,5078,3
21.33,Turkana,500,426.6,5691849,6063,1
0,Turkana,1000,0,5691629,7173,3
0,Turkana,1000,0,5691698,6097,3
10.67,Turkana,1000,106.7,5691540,6016,1
5.33,Turkana,150,79.95,5691760,6074,1
22.67,Turkana,1000,226.7,5691928,6048,1
8.67,Turkana,10000,69.36,5691526,6013,1
18,Turkana,7000,162,10388457,7186,1
20,Turkana,1000,200,10388433,7515,1
22,Turkana,1600,308,480613,7165,1
8,Turkana,1000,80,480620,7509,1
9.33,Turkana,1000,93.3,13884664,7314,1
12,Turkana,1000,120,5691571,6008,1
8,Turkana,16000,616,7668335,5070,1
